epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity,lr
0,29.6,29.6,4.14446496963501,48.051696380657084,0.1
1,33.64,33.64,3.8376595973968506,46.01954266293006,0.09999725846827562
2,38.22,38.22,3.554126024246216,43.83534076679983,0.09998903417374229
3,40.65,40.65,3.292304515838623,41.55573609206368,0.0999753280182866
4,41.81,41.81,3.0510525703430176,39.22693935960885,0.09995614150494293
5,49.33,49.33,2.8282275199890137,36.73640510404866,0.0999314767377287
6,48.46,48.46,2.62325119972229,34.22798282749985,0.09990133642141359
7,54.42,54.42,2.434232234954834,31.56751237254785,0.0998657238612229
8,49.15,49.15,2.259648323059082,28.867911871683262,0.09982464296247523
9,54.82,54.82,2.0988388061523438,26.00918251744082,0.099778098230154
10,55.74,55.74,1.9500712156295776,23.048715043825652,0.09972609476841367
11,54.68,54.68,1.812957763671875,20.023403494126768,0.09966863828001983
12,58.3,58.3,1.6868630647659302,16.970514578737106,0.09960573506572391
13,55.31,55.31,1.5712254047393799,13.937004352751774,0.09953739202357219
