epoch,quantize_thresholds
0,"[0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436, 0.39023175835609436]"
1,"[0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449, 0.3044334352016449]"
2,"[0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067, 0.23757916688919067]"
3,"[0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472, 0.1854703277349472]"
4,"[0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107, 0.14487063884735107]"
5,"[0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739, 0.11323865503072739]"
6,"[0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309, 0.08858988434076309]"
7,"[0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278, 0.06937716156244278]"
8,"[0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358, 0.05439497530460358]"
9,"[0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534, 0.04270270839333534]"
10,"[0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797, 0.03357642516493797]"
11,"[0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874, 0.026442212983965874]"
