epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,-1,18.36,0.0,1.8025907817065172
1,-1,12.16,0.0,1.8025907817065172
2,-1,23.47,0.0,1.8025907817065172
3,-1,27.28,0.0,1.8025907817065172
4,-1,18.14,0.0,1.8025907817065172
5,-1,27.06,0.0,1.8025907817065172
6,-1,26.79,0.0,1.8025907817065172
7,-1,28.21,0.0,1.8025907817065172
8,-1,26.08,0.0,1.8025907817065172
9,-1,27.42,0.0,1.8025907817065172
10,-1,24.43,0.0,1.8025907817065172
11,-1,17.85,0.0,1.8025907817065172
12,-1,24.26,0.0,1.8025907817065172
13,-1,11.19,0.0,1.8025907817065172
14,-1,17.08,0.0,1.8025907817065172
15,-1,25.05,0.0,1.8025907817065172
16,-1,16.85,0.0,1.8025907817065172
17,-1,28.75,0.0,1.8025907817065172
18,-1,18.59,0.0,1.8025907817065172
19,-1,28.27,0.0,1.8025907817065172
20,-1,23.27,0.0,1.8025907817065172
21,-1,26.28,0.0,1.8025907817065172
22,-1,22.98,0.0,1.8025907817065172
23,-1,20.28,0.0,1.8025907817065172
24,-1,22.91,0.0,1.8025907817065172
25,-1,24.31,0.0,1.8025907817065172
26,-1,31.13,0.0,1.8025907817065172
27,-1,17.14,0.0,1.8025907817065172
28,-1,22.49,0.0,1.8025907817065172
29,-1,21.67,0.0,1.8025907817065172
30,-1,29.53,0.0,1.8025907817065172
31,-1,34.53,0.0,1.8025907817065172
32,-1,20.04,0.0,1.8025907817065172
33,-1,20.88,0.0,1.8025907817065172
34,-1,25.99,0.0,1.8025907817065172
35,-1,18.22,0.0,1.8025907817065172
36,-1,24.02,0.0,1.8025907817065172
37,-1,22.65,0.0,1.8025907817065172
38,-1,13.06,0.0,1.8025907817065172
39,-1,28.51,0.0,1.8025907817065172
40,-1,29.71,0.0,1.8025907817065172
41,-1,25.72,0.0,1.8025907817065172
42,-1,27.65,0.0,1.8025907817065172
43,-1,22.11,0.0,1.8025907817065172
44,-1,20.53,0.0,1.8025907817065172
45,-1,26.03,0.0,1.8025907817065172
46,-1,21.97,0.0,1.8025907817065172
47,-1,18.03,0.0,1.8025907817065172
48,-1,27.53,0.0,1.8025907817065172
49,-1,20.29,0.0,1.8025907817065172
50,-1,23.61,0.0,1.8025907817065172
51,-1,19.34,0.0,1.8025907817065172
52,-1,28.72,0.0,1.8025907817065172
53,-1,21.77,0.0,1.8025907817065172
54,-1,16.7,0.0,1.8025907817065172
55,-1,35.61,0.0,1.8025907817065172
56,-1,28.94,0.0,1.8025907817065172
57,-1,12.88,0.0,1.8025907817065172
58,-1,27.98,0.0,1.8025907817065172
59,-1,23.34,0.0,1.8025907817065172
60,-1,29.39,0.0,1.8025907817065172
61,-1,30.27,0.0,1.8025907817065172
62,-1,25.97,0.0,1.8025907817065172
63,-1,20.28,0.0,1.8025907817065172
64,-1,24.5,0.0,1.8025907817065172
65,-1,13.23,0.0,1.8025907817065172
66,-1,23.37,0.0,1.8025907817065172
67,-1,20.89,0.0,1.8025907817065172
68,-1,21.86,0.0,1.8025907817065172
69,-1,17.28,0.0,1.8025907817065172
70,-1,31.24,0.0,1.8025907817065172
71,-1,27.84,0.0,1.8025907817065172
72,-1,18.67,0.0,1.8025907817065172
73,-1,34.66,0.0,1.8025907817065172
74,-1,23.1,0.0,1.8025907817065172
75,-1,30.26,0.0,1.8025907817065172
76,-1,31.53,0.0,1.8025907817065172
77,-1,30.68,0.0,1.8025907817065172
78,-1,27.99,0.0,1.8025907817065172
79,-1,27.45,0.0,1.8025907817065172
80,-1,28.88,0.0,1.8025907817065172
81,-1,30.28,0.0,1.8025907817065172
82,-1,19.87,0.0,1.8025907817065172
83,-1,28.23,0.0,1.8025907817065172
84,-1,23.93,0.0,1.8025907817065172
85,-1,28.85,0.0,1.8025907817065172
86,-1,28.44,0.0,1.8025907817065172
87,-1,22.83,0.0,1.8025907817065172
88,-1,26.81,0.0,1.8025907817065172
89,-1,23.98,0.0,1.8025907817065172
90,-1,20.61,0.0,1.8025907817065172
91,-1,18.29,0.0,1.8025907817065172
92,-1,23.14,0.0,1.8025907817065172
93,-1,22.52,0.0,1.8025907817065172
94,-1,25.01,0.0,1.8025907817065172
95,-1,20.46,0.0,1.8025907817065172
96,-1,19.4,0.0,1.8025907817065172
97,-1,19.97,0.0,1.8025907817065172
98,-1,10.99,0.0,1.8025907817065172
99,-1,23.49,0.0,1.8025907817065172
100,-1,13.69,0.0,1.8025907817065172
101,-1,23.58,0.0,1.8025907817065172
102,-1,14.52,0.0,1.8025907817065172
103,-1,28.77,0.0,1.8025907817065172
104,-1,29.15,0.0,1.8025907817065172
105,-1,35.43,0.0,1.8025907817065172
106,-1,29.25,0.0,1.8025907817065172
107,-1,23.95,0.0,1.8025907817065172
108,-1,18.6,0.0,1.8025907817065172
109,-1,23.44,0.0,1.8025907817065172
110,-1,27.51,0.0,1.8025907817065172
