epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,-1,35.04,0.0,79.98330451374396
1,-1,42.12,0.0,79.98665851767933
2,-1,39.11,0.0,79.99932919921292
3,-1,45.5,0.0,79.99858386500507
4,-1,52.96,0.0,79.98255917953611
5,-1,50.49,0.0,79.99373919265399
6,-1,44.02,0.0,79.97398783614572
7,-1,34.38,0.0,79.98106851112038
8,-1,44.9,0.0,79.97883250849681
9,-1,48.33,0.0,64.4747629837219
10,-1,45.27,0.0,65.07475702104824
11,-1,50.65,0.0,65.6065529783555
12,-1,60.01,0.0,66.39809790710154
13,-1,43.97,0.0,67.05250134160157
14,-1,40.58,0.0,68.03559716176734
15,-1,26.49,0.0,68.82006141553873
16,-1,49.77,0.0,69.58701031542543
17,-1,46.03,0.0,53.53400214656252
18,-1,56.6,0.0,54.73771689225449
19,-1,51.2,0.0,55.78789279112754
20,-1,57.85,0.0,57.02179357223779
21,-1,36.12,0.0,57.90575994275833
22,-1,52.14,0.0,59.12736270943891
23,-1,51.32,0.0,60.044496452209174
24,-1,45.82,0.0,61.190075129688154
25,-1,63.67,0.0,45.451970663645575
26,-1,62.86,0.0,46.779783554946036
27,-1,46.09,0.0,47.62760121638543
28,-1,50.82,0.0,48.70349114542961
29,-1,44.62,0.0,49.362366585176794
30,-1,51.69,0.0,50.226581599189075
31,-1,55.47,0.0,51.18806272732694
32,-1,53.71,0.0,51.76085206606643
33,-1,59.66,0.0,37.67776220857432
34,-1,67.38,0.0,38.66085802874009
35,-1,61.18,0.0,39.428179595730725
36,-1,45.99,0.0,40.04867032377318
37,-1,54.35,0.0,40.73363246079542
38,-1,61.82,0.0,41.361576530916466
39,-1,58.95,0.0,41.902689165821954
40,-1,59.43,0.0,42.24218889750164
41,-1,68.38,0.0,31.028263073162005
42,-1,66.36,0.0,31.85483870967742
43,-1,64.87,0.0,32.50924214417745
44,-1,68.92,0.0,32.95122532943772
45,-1,62.71,0.0,33.59519408502773
46,-1,74.12,0.0,34.071089976745576
47,-1,61.0,0.0,34.39121101902093
48,-1,65.18,0.0,34.909590960586726
49,-1,70.56,0.0,25.800861606344284
50,-1,66.54,0.0,26.504829765666926
51,-1,59.05,0.0,27.0191103690895
52,-1,66.73,0.0,27.443578200465087
53,-1,65.73,0.0,27.893760062011808
54,-1,54.34,0.0,28.413258004889393
55,-1,68.5,0.0,28.67710631447141
56,-1,55.0,0.0,28.98865601335639
57,-1,64.89,0.0,21.489103213881105
