epoch,test_acc,model_sparsity
1,97.19,49.562038197871374
2,97.9,42.06008762570354
3,98.42,36.569810477740134
4,98.48,32.359408759902905
5,98.45,28.910647123156124
6,98.47,25.977203312971806
7,98.46,23.504394622422577
8,98.48,21.28582717597162
9,98.55,19.535563765371176
10,98.63,18.038207874309798
11,98.61,16.80801368401398
12,98.62,15.733281762650378
13,98.55,14.780335565099096
14,98.54,14.001940569233643
15,98.46,13.304902771479634
16,98.48,12.708811251300382
17,98.48,12.203246285577103
18,98.51,11.75936608071701
19,98.5,11.36266638213876
20,98.54,11.013230547627304
21,98.51,10.69163621328923
22,98.47,10.382712262263597
23,98.43,10.12555349569207
24,98.47,9.898570247272533
25,98.41,9.681506575262077
26,98.44,9.48753300968284
27,98.43,9.308230414254847
28,98.39,9.147850036010563
29,98.42,9.00130705006802
30,98.36,8.864850356104457
31,98.37,8.740980687668383
32,98.38,8.621695697404572
33,98.4,8.500410120301956
34,98.4,8.395045880124837
35,98.38,8.296683693883539
36,98.37,8.202322681319854
37,98.36,8.110879191229428
38,98.35,8.031522579956787
39,98.35,7.957834298060765
40,98.35,7.887230254207901
41,98.39,7.821377604097202
42,98.38,7.748939688975433
43,98.35,7.679836085251674
44,98.39,7.623986369335005
45,98.35,7.5660527087945795
46,98.35,7.511536717437115
47,98.37,7.46352263330577
48,98.39,7.408589853023553
49,98.35,7.359242044333004
50,98.34,7.31147803355651
