epoch,test_acc,model_sparsity
1,97.19,49.562038197871374
2,97.97,42.065672597295205
3,98.37,36.56789324868628
4,98.41,32.31814665635253
5,98.41,28.793862866440822
6,98.5,25.82049067726533
7,98.55,23.37685721144869
8,98.48,21.214056123129453
9,98.61,19.44845488009816
10,98.62,17.97902384699512
11,98.62,16.77283669876497
12,98.6,15.724945984155353
13,98.51,14.78800448131452
14,98.55,14.011943503427672
15,98.52,13.324241777588092
16,98.52,12.736402678118916
17,98.53,12.23850662861106
18,98.52,11.787957800954947
19,98.48,11.375003334311398
20,98.5,11.029985462402305
21,98.45,10.710391714903038
22,98.4,10.415555229533997
23,98.41,10.167065672597294
24,98.36,9.936498039424897
25,98.39,9.713682680252875
26,98.41,9.51762517004988
27,98.39,9.332820960815173
28,98.39,9.170773426871882
29,98.35,9.022730000800236
30,98.36,8.877770812771747
31,98.37,8.752400704206567
32,98.36,8.635699805276214
33,98.36,8.509746192216383
34,98.35,8.410633785910534
35,98.37,8.309604150550829
36,98.36,8.215409853557043
37,98.33,8.12780082157433
38,98.37,8.047944063591986
39,98.34,7.9733388460615116
40,98.37,7.905235535757155
41,98.37,7.842133692549814
42,98.38,7.77461388674011
43,98.34,7.709178025554163
44,98.35,7.6484935581103795
45,98.34,7.59239376883886
46,98.38,7.536960841846942
47,98.37,7.479527328016218
48,98.38,7.426011630078157
49,98.39,7.379247912721065
50,98.39,7.33148390194457
51,98.38,7.287387633705887
52,98.38,7.246959108005015
53,98.38,7.203196270906132
54,98.36,7.160600442796554
55,98.36,7.117504467977273
56,98.36,7.07999346474966
57,98.34,7.047150497479261
58,98.34,7.010389714316199
59,98.33,6.975462802422044
60,98.32,6.941452826162341
61,98.3,6.910360372375897
62,98.3,6.880935074288458
63,98.27,6.8522599962655715
64,98.33,6.819250313425272
65,98.31,6.786907492864573
66,98.32,6.758732561551389
67,98.3,6.7295573368188
68,98.3,6.700215396516311
69,98.28,6.670289951719171
70,98.3,6.641864947051135
71,98.29,6.61727440049081
72,98.31,6.59385086291979
73,98.31,6.569427031929366
74,98.33,6.548587585691803
75,98.31,6.52783149723919
76,98.31,6.50490810637787
77,98.31,6.48498559577476
78,98.31,6.461728773773641
79,98.33,6.444056923364187
80,98.32,6.424467843900878
81,98.32,6.403795113233215
82,98.29,6.383122382565553
83,98.31,6.366284110005601
84,98.34,6.3492791218757505
85,98.32,6.3331910693803515
86,98.35,6.315769292325749
87,98.32,6.298180799701246
88,98.34,6.278841793592787
89,98.35,6.261336658753234
90,98.31,6.245081890687935
91,98.36,6.2289104804075865
92,98.32,6.212905785697138
93,98.31,6.19690109098669
94,98.32,6.179562671717037
95,98.31,6.167225719544399
96,98.32,6.152804822748006
97,98.29,6.13771706367201
98,98.3,6.124629891434821
99,98.3,6.110375710208328
100,98.3,6.096955106831337
