epoch,test_acc,model_sparsity
1,97.09,49.54453306303182
2,97.93,42.08359452105951
3,98.28,36.49478847128491
4,98.44,32.0747419242978
5,98.43,28.470017871909093
6,98.47,25.508565845981487
7,98.53,23.111195950812238
8,98.55,20.976736509376085
9,98.6,19.27607098082104
10,98.67,17.799721251567128
11,98.65,16.58761570060551
12,98.61,15.545309957587559
13,98.52,14.642378431006428
14,98.5,13.869901837872442
15,98.51,13.185784496785724
16,98.55,12.594611085918537
17,98.57,12.08987969804476
18,98.51,11.622826028968497
19,98.54,11.23679612686388
20,98.5,10.908449811944838
21,98.5,10.59477446717704
22,98.46,10.313942089679639
23,98.42,10.06303515697938
24,98.45,9.821964442903251
25,98.51,9.59656499239777
26,98.48,9.397589959721518
27,98.51,9.21303582384166
28,98.46,9.050238069833817
29,98.4,8.900777561418016
30,98.35,8.760903198271492
31,98.33,8.631531916028703
32,98.37,8.512747072474593
33,98.37,8.392211715436527
34,98.37,8.295850116034037
35,98.35,8.196404278588385
36,98.36,8.103710421723706
37,98.39,8.015351169676439
38,98.37,7.932493531435888
39,98.38,7.861722772013124
40,98.39,7.789618288031156
41,98.36,7.718847528608392
42,98.32,7.653828456347195
43,98.34,7.5885593107311475
44,98.35,7.525457467523807
45,98.34,7.468440742617835
46,98.36,7.414258182400171
47,98.33,7.362326282376164
48,98.34,7.311894822481261
49,98.32,7.264714316199418
50,98.33,7.219617754541332
51,98.46,7.219617754541332
52,98.59,7.219617754541332
53,98.65,7.219617754541332
54,98.69,7.219617754541332
55,98.73,7.219617754541332
56,98.72,7.219617754541332
57,98.76,7.219617754541332
58,98.79,7.219617754541332
59,98.83,7.219617754541332
60,98.82,7.219617754541332
61,98.81,7.219617754541332
62,98.83,7.219617754541332
63,98.83,7.219617754541332
64,98.87,7.219617754541332
65,98.84,7.219617754541332
66,98.92,7.219617754541332
67,98.98,7.219617754541332
68,98.91,7.219617754541332
69,98.89,7.219617754541332
70,98.91,7.219617754541332
71,98.94,7.219617754541332
72,98.93,7.219617754541332
73,98.88,7.219617754541332
74,98.91,7.219617754541332
75,98.91,7.219617754541332
76,99.0,7.219617754541332
77,98.93,7.219617754541332
78,98.95,7.219617754541332
79,98.93,7.219617754541332
80,98.95,7.219617754541332
81,98.95,7.219617754541332
82,98.96,7.219617754541332
83,98.96,7.219617754541332
84,98.97,7.219617754541332
85,98.91,7.219617754541332
86,98.96,7.219617754541332
87,99.0,7.219617754541332
88,99.02,7.219617754541332
89,99.0,7.219617754541332
90,99.07,7.219617754541332
91,99.04,7.219617754541332
92,99.02,7.219617754541332
93,99.02,7.219617754541332
94,98.97,7.219617754541332
95,99.01,7.219617754541332
96,99.0,7.219617754541332
97,99.04,7.219617754541332
98,99.04,7.219617754541332
99,99.02,7.219617754541332
100,98.98,7.219617754541332
