epoch,test_acc,model_sparsity
1,97.25,49.57904318600123
2,97.77,37.56226826535784
3,98.16,31.585181653284963
4,98.02,27.72129824748593
5,98.03,24.98966363466617
6,98.1,22.90330163514631
7,98.11,21.281575928939155
8,98.09,19.849489183493827
9,98.15,18.671560324361813
10,98.13,17.667682520205926
11,98.11,16.84910907199445
12,98.08,16.11439355544293
13,98.06,15.449031715970017
14,98.08,14.863359918909547
15,98.12,14.357128090906667
16,98.14,13.872736002560751
17,98.05,13.450112032862974
18,98.1,13.063665341833605
19,98.09,12.705643655472272
20,98.08,12.388633999306464
21,98.06,12.078876470431327
22,98.08,11.774453839793006
23,98.04,11.518378724425832
24,98.02,11.270556029768732
25,98.12,11.030568966896956
26,98.12,10.821591000026675
27,98.08,10.626867214382886
28,98.05,10.438228547040465
29,98.01,10.265511216623542
30,98.05,10.084874896636347
31,98.03,9.931663287897784
32,98.07,9.7883712555683
33,98.02,9.644078929819413
34,98.06,9.525794232975006
35,98.07,9.397089813011817
36,98.05,9.277721464963056
37,98.05,9.155435594441036
38,98.04,9.04773733628531
39,98.0,8.93503761103257
40,98.05,8.840509882898983
41,98.06,8.74356477900184
42,98.03,8.653204940115767
43,97.99,8.555342900584172
44,98.03,8.471818400064018
45,97.98,8.388794046253567
46,98.01,8.316189415561897
47,98.0,8.24066726239697
48,97.95,8.167395769425697
49,97.94,8.095958147723332
50,97.9,8.029605350902932
