epoch,test_acc,model_sparsity
1,97.19,49.562038197871374
2,98.29,49.395822774680575
3,98.36,49.2387767078343
4,98.16,49.20960148310171
5,98.42,49.112656379204566
6,98.45,49.088899410493745
7,98.34,49.161087252260664
8,98.56,49.05705673664275
9,98.53,49.069226973245485
10,98.2,49.05422257195444
11,98.29,49.02754808077036
12,98.09,49.0408853263624
13,98.08,49.043552775480805
14,98.49,49.04822081143802
15,97.85,49.02129624689909
16,98.45,49.00612513003814
17,98.57,48.98803649070394
18,98.42,48.98261823468217
19,98.5,48.94877497399237
20,98.55,48.977700125370106
21,98.61,49.05172183840593
22,98.65,49.005291552188645
23,98.6,49.0412187575022
24,98.46,49.04146883085705
25,98.57,49.01971244898503
26,98.63,49.01454426631812
27,98.72,48.98128451012297
28,98.73,49.002707460855184
29,98.55,49.013460615113765
30,98.62,48.979283923284164
31,98.57,48.99462175571501
32,98.63,48.94944183627197
33,98.61,48.99937314945718
34,98.51,49.01771186214623
35,98.58,49.00520819440369
36,98.72,48.97778348315506
37,98.56,49.01279375283416
38,98.56,48.9760329696711
39,98.7,48.97970071220892
40,98.64,48.91743244685107
41,98.68,48.99303795780096
42,98.66,48.96036170610046
43,98.45,48.99495518685481
44,98.73,49.000206727306676
45,98.64,48.940605911067244
46,98.73,49.00479140547894
47,98.67,48.99687241590867
48,98.58,48.97244858491824
49,98.8,48.995788764704315
50,98.61,49.00187388300568
