epoch,test_acc,model_sparsity
1,93.68,50.0
2,95.31,50.0
3,95.92,50.0
4,96.87,50.0
5,97.11,50.0
6,97.39,50.0
7,97.89,50.0
8,97.98,50.0
9,98.16,50.0
10,98.11,50.0
11,98.21,50.0
12,98.35,50.0
13,98.39,50.0
14,98.4,50.0
15,98.34,50.0
16,98.43,50.0
17,98.26,50.0
18,98.44,50.0
19,98.53,50.0
20,98.35,50.0
21,98.62,50.0
22,98.51,50.0
23,98.62,50.0
24,98.63,50.0
25,98.66,50.0
26,98.69,50.0
27,98.6,50.0
28,98.73,50.0
29,98.75,50.0
30,98.73,50.0
31,98.81,50.0
32,98.63,50.0
33,98.68,50.0
34,98.82,50.0
35,98.77,50.0
36,98.67,50.0
37,98.83,50.0
38,98.8,50.0
39,98.76,50.0
40,98.82,50.0
41,98.76,50.0
42,98.8,50.0
43,98.77,50.0
44,98.78,50.0
45,98.84,50.0
46,98.86,50.0
47,98.85,50.0
48,98.84,50.0
49,98.84,50.0
50,98.84,50.0
