epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,29.64,29.64,4.144539833068848,48.0658577306064
1,37.6,37.6,3.8376638889312744,45.98898396040785
2,37.55,37.55,3.554335355758667,43.83347743128019
3,40.88,40.88,3.2934257984161377,41.59039413272912
4,41.73,41.73,3.0525617599487305,39.20867867151631
5,49.62,49.62,2.830563545227051,36.76547313815515
6,49.78,49.78,2.626331329345703,34.194815455250136
7,44.51,44.51,2.4378762245178223,31.545525013416015
8,57.3,57.3,2.2641851902008057,28.834744499433548
9,41.09,41.09,2.1036903858184814,26.000611174050444
10,53.65,53.65,1.9558613300323486,23.120267127780096
11,49.89,49.89,1.8195948600769043,20.156072983125632
12,59.11,59.11,1.694301724433899,17.152003458350723
13,55.02,55.02,1.5790772438049316,14.16917595849979
14,56.51,56.51,1.4740242958068848,11.261627213642598
15,44.6,44.6,1.3785040378570557,8.535940015502952
16,47.93,47.93,1.2920721769332886,6.237329318466401
17,50.87,50.87,1.2164559364318848,4.69262417267903
18,32.92,32.92,1.1494227647781372,3.866048536163616
19,46.78,46.78,1.090627908706665,3.4732574086220263
20,48.78,48.78,1.0377061367034912,3.262327827797985
21,51.49,51.49,0.9902596473693848,3.20307375827321
22,44.55,44.55,0.9463745951652527,3.0916462941983185
23,59.87,59.87,0.906561017036438,3.0491622443503665
24,51.0,51.0,0.8698115944862366,2.995870848488462
25,53.17,53.17,0.8383660912513733,2.975001490668416
26,51.76,51.76,0.8089638352394104,2.9608401407190983
27,30.76,30.76,0.7817246317863464,2.9619581420308867
28,54.93,54.93,0.7560022473335266,2.938480114483334
29,53.46,53.46,0.7322873473167419,2.9191014250790053
30,55.07,55.07,0.7100711464881897,2.9220827619104406
31,41.26,41.26,0.6892995238304138,2.9086667461689824
32,64.77,64.77,0.669468104839325,2.8721453699839006
33,53.55,53.55,0.6530258059501648,2.879971379166418
34,52.19,52.19,0.6367751955986023,2.8818347146860654
35,52.18,52.18,0.6216168403625488,2.8784807107507007
36,22.3,22.3,0.6065576076507568,2.8542573489952896
37,48.27,48.27,0.5929149389266968,2.849040009540278
38,49.59,49.59,0.5797128677368164,2.857611352930654
39,58.37,58.37,0.5673015713691711,2.861338023969948
40,45.03,45.03,0.556010365486145,2.8721453699839006
41,57.55,57.55,0.5453609824180603,2.842704668773478
