test,nact,before
41.36,100.0,10.0
50.85,100.0,10.0
55.07,100.0,10.0
59.16,100.0,10.0
63.4,100.0,10.0
66.27,100.0,10.0
68.21,100.0,10.0
70.02,100.0,10.0
72.44,100.0,10.0
73.72,100.0,10.0
74.08,100.0,10.0
75.69,100.0,10.0
76.93,100.0,10.0
77.89,100.0,10.0
78.44,100.0,10.0
78.13,100.0,10.0
78.67,100.0,10.0
80.44,100.0,10.0
80.08,100.0,10.0
81.36,100.0,10.0
81.31,100.0,10.0
82.46,100.0,10.0
82.1,100.0,10.0
82.55,100.0,10.0
83.29,100.0,10.0
83.4,100.0,10.0
83.43,100.0,10.0
84.09,100.0,10.0
83.95,100.0,10.0
83.55,100.0,10.0
84.4,100.0,10.0
84.86,100.0,10.0
84.85,100.0,10.0
84.58,100.0,10.0
84.37,100.0,10.0
84.91,100.0,10.0
85.74,100.0,10.0
85.66,100.0,10.0
85.77,100.0,10.0
85.63,100.0,10.0
85.9,100.0,10.0
85.76,100.0,10.0
85.36,100.0,10.0
86.01,100.0,10.0
85.67,100.0,10.0
85.55,100.0,10.0
86.56,100.0,10.0
86.26,100.0,10.0
86.74,100.0,10.0
85.81,100.0,10.0
86.62,100.0,10.0
86.36,100.0,10.0
86.69,100.0,10.0
85.64,100.0,10.0
85.88,100.0,10.0
86.52,100.0,10.0
86.19,100.0,10.0
86.01,100.0,10.0
87.13,100.0,10.0
86.35,100.0,10.0
86.64,100.0,10.0
85.96,100.0,10.0
87.33,100.0,10.0
86.95,100.0,10.0
86.27,100.0,10.0
87.15,100.0,10.0
86.94,100.0,10.0
87.18,100.0,10.0
87.22,100.0,10.0
87.4,100.0,10.0
87.47,100.0,10.0
86.54,100.0,10.0
86.61,100.0,10.0
87.47,100.0,10.0
86.88,100.0,10.0
87.31,100.0,10.0
87.19,100.0,10.0
87.82,100.0,10.0
87.0,100.0,10.0
87.61,100.0,10.0
87.57,100.0,10.0
87.25,100.0,10.0
87.96,100.0,10.0
87.08,100.0,10.0
87.26,100.0,10.0
88.01,100.0,10.0
87.68,100.0,10.0
87.25,100.0,10.0
87.65,100.0,10.0
88.26,100.0,10.0
87.27,100.0,10.0
87.76,100.0,10.0
88.34,100.0,10.0
87.82,100.0,10.0
87.9,100.0,10.0
87.55,100.0,10.0
88.37,100.0,10.0
88.61,100.0,10.0
88.13,100.0,10.0
88.23,100.0,10.0
88.24,100.0,10.0
88.23,100.0,10.0
88.65,100.0,10.0
88.45,100.0,10.0
88.01,100.0,10.0
88.28,100.0,10.0
88.27,100.0,10.0
88.11,100.0,10.0
88.06,100.0,10.0
88.29,100.0,10.0
87.86,100.0,10.0
87.82,100.0,10.0
88.53,100.0,10.0
88.51,100.0,10.0
88.41,100.0,10.0
88.07,100.0,10.0
88.58,100.0,10.0
87.94,100.0,10.0
87.81,100.0,10.0
88.3,100.0,10.0
