epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,26.33,26.33,12.408574104309082,46.214074891181205
1,31.23,31.23,11.427038192749023,42.25709558165882
2,38.75,38.75,10.48840045928955,38.32843897203506
3,35.28,35.28,9.593033790588379,34.387857015085565
4,43.81,43.81,8.741965293884277,30.493485779023313
5,44.28,44.28,7.93283748626709,26.53166179714984
6,50.04,50.04,7.16805362701416,22.578036491562816
7,47.13,47.13,6.445991516113281,18.659441893745154
8,44.8,44.8,5.768268585205078,14.825442728519468
9,48.51,48.51,5.133701324462891,11.080883668236837
10,45.87,45.87,4.544652938842773,7.618433605628764
11,40.13,40.13,4.0062408447265625,4.647904120207501
12,45.74,45.74,3.5272669792175293,2.822207978057361
13,32.51,32.51,3.1102712154388428,2.114140480591497
14,21.07,21.07,2.7450265884399414,1.8510375052173396
15,39.41,39.41,2.4210832118988037,1.7370013714149424
16,37.7,37.7,2.133467674255371,1.668803291395862
17,36.98,36.98,1.8795329332351685,1.645697930952239
18,36.92,36.92,1.661302089691162,1.6393625901854392
19,42.04,42.04,1.4731850624084473,1.6106672231828751
20,38.25,38.25,1.3136241436004639,1.5719098443742174
21,41.83,41.83,1.179183006286621,1.5704191759584998
22,48.89,48.89,1.0690215826034546,1.558493828632759
23,40.46,40.46,0.9817026257514954,1.558493828632759
24,31.17,31.17,0.9175582528114319,1.5495498181384533
25,26.77,26.77,0.8661885261535645,1.5737731798938643
26,37.55,37.55,0.8293692469596863,1.5730278456860056
27,41.17,41.17,0.8030941486358643,1.565947170711347
28,36.84,36.84,0.7813827395439148,1.5480591497227356
29,29.2,29.2,0.7639214396476746,1.5663198378152763
30,35.62,35.62,0.7463849186897278,1.5536491562816768
31,43.06,43.06,0.7329598069190979,1.5506678194502415
32,30.77,30.77,0.7204151153564453,1.5599844970484766
33,50.53,50.53,0.7074887156486511,1.5428418102677242
34,46.73,46.73,0.6980430483818054,1.5506678194502415
35,47.95,47.95,0.6889231204986572,1.5480591497227356
36,48.67,48.67,0.6817976832389832,1.5689285075427821
37,46.3,46.3,0.6732909679412842,1.5309164629419831
38,40.05,40.05,0.6665059924125671,1.5868165285313935
