epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
0,48.54,48.54,0.0,50.017888020988615
1,52.99,52.99,0.0,49.9556526146324
2,56.02,56.02,0.0,49.866957843897204
3,59.97,59.97,0.0,49.70559298789577
4,64.9,64.9,0.0,49.66720827619105
5,68.28,68.28,0.0,49.51366942937213
6,70.59,70.59,0.0,49.32472720767992
7,70.16,70.16,0.0,49.125350307077696
8,71.44,71.44,0.0,49.1216236360384
9,72.87,72.87,0.0,48.880508019796075
10,69.81,69.81,0.0,48.71690716117107
11,63.69,63.69,0.0,48.57193965774253
12,71.62,71.62,0.0,48.47169220678552
13,65.74,65.74,0.0,48.43181682666508
14,75.23,75.23,0.0,48.26709796672828
15,69.37,69.37,0.0,48.16312384473198
16,74.83,74.83,0.0,48.01741100709558
17,73.22,73.22,0.0,47.89182219307137
18,74.49,74.49,0.0,47.76325204221573
19,74.47,74.47,0.0,47.72523999761493
20,74.5,74.5,0.0,47.6398992308151
21,74.58,74.58,0.0,47.57691849025103
22,75.07,75.07,0.0,47.45803768409755
23,75.15,75.15,0.0,47.422261642120326
24,77.37,77.37,0.0,47.35108222526981
25,75.14,75.14,0.0,44.99955279947528
26,78.16,78.16,0.0,42.278337606582795
27,76.47,76.47,0.0,41.08803887663228
28,78.39,78.39,0.0,40.438852781587265
29,80.3,80.3,0.0,39.74904597221394
30,80.96,80.96,0.0,39.330168147397295
31,81.21,81.21,0.0,38.84197424124978
32,75.08,75.08,0.0,38.44545644266889
33,79.25,79.25,0.0,38.076516009778786
34,75.91,75.91,0.0,37.877139109176554
35,80.7,80.7,0.0,37.561862739252284
36,76.8,76.8,0.0,37.33677180847892
37,81.67,81.67,0.0,37.114662214537
38,75.63,75.63,0.0,36.98422872816171
39,78.29,78.29,0.0,36.80087651302844
40,80.16,80.16,0.0,36.647710333313455
41,76.89,76.89,0.0,36.467339455011626
42,76.92,76.92,0.0,36.31454594240057
43,79.34,79.34,0.0,36.18485779023314
44,80.94,80.94,0.0,36.03430028024566
45,79.05,79.05,0.0,35.9802635501759
46,78.01,78.01,0.0,35.814799356031244
47,77.55,77.55,0.0,35.708589231411366
48,75.63,75.63,0.0,35.61914912646831
49,80.84,80.84,0.0,35.46896428358476
50,78.5,78.5,0.0,20.249239759107983
51,68.68,68.68,0.0,17.86081629002445
52,65.27,65.27,0.0,17.157966132013595
53,74.02,74.02,0.0,16.655238208812833
54,70.73,70.73,0.0,16.335862500745336
55,71.68,71.68,0.0,16.142820940909903
56,56.39,56.39,0.0,15.922202015383698
57,69.26,69.26,0.0,15.784687854033749
58,71.9,71.9,0.0,15.655745036074176
59,75.31,75.31,0.0,15.552516248285732
60,71.0,71.0,0.0,15.492889511657028
61,67.9,67.9,0.0,15.43475344344404
62,70.41,70.41,0.0,15.321089976745572
63,69.34,69.34,0.0,15.301338620237315
64,72.39,72.39,0.0,15.234258541530021
65,72.91,72.91,0.0,15.164197125991295
66,78.32,78.32,0.0,15.164197125991295
67,69.6,69.6,0.0,15.1541351141852
68,75.73,75.73,0.0,15.112769065649037
69,69.05,69.05,0.0,15.068794347385367
70,60.0,60.0,0.0,15.019229622562758
71,70.72,70.72,0.0,14.963329556973347
72,72.3,72.3,0.0,14.963702224077275
73,71.68,71.68,0.0,14.996124262119134
74,74.91,74.91,0.0,14.932398187347207
75,71.62,71.62,0.0,9.111710691073878
76,65.86,65.86,0.0,8.345879792498957
77,70.52,70.52,0.0,8.016069405521435
78,69.76,69.76,0.0,7.810729831256335
79,69.05,69.05,0.0,7.656818317333492
80,62.72,62.72,0.0,7.542782183531095
81,62.77,62.77,0.0,7.449615407548745
82,63.13,63.13,0.0,7.364647307852842
83,49.59,49.59,0.0,7.318436586965595
84,63.47,63.47,0.0,7.261791187168326
85,59.65,59.65,0.0,7.211108461033928
86,58.65,58.65,0.0,7.211108461033928
87,66.56,66.56,0.0,7.183903762447081
88,62.07,62.07,0.0,7.167879076978117
89,68.61,68.61,0.0,7.12874903106553
90,62.69,62.69,0.0,7.119805020571224
91,53.43,53.43,0.0,7.108252340349413
92,63.12,63.12,0.0,7.079556973346849
93,65.58,65.58,0.0,7.090364319360801
94,62.6,62.6,0.0,7.089991652256872
95,54.34,54.34,0.0,7.043780931369626
96,58.23,58.23,0.0,7.0307375827320975
97,53.7,53.7,0.0,7.011731560431698
98,66.26,66.26,0.0,7.019184902510285
99,63.85,63.85,0.0,7.040799594538191
100,63.76,63.76,0.0,4.099710810327351
101,48.44,48.44,0.0,3.847042513863216
102,35.42,35.42,0.0,3.6830689881342793
103,50.74,50.74,0.0,3.5522628346550595
104,34.73,34.73,0.0,3.4613320612962855
105,46.64,46.64,0.0,3.3946246496929224
106,31.04,31.04,0.0,3.3327619104406416
107,29.93,29.93,0.0,3.290650527696619
108,47.48,47.48,0.0,3.256365154135114
109,38.2,38.2,0.0,3.23400512789935
110,48.08,48.08,0.0,3.2086637648321505
111,46.83,46.83,0.0,3.1844404030767395
112,41.23,41.23,0.0,3.157981038697752
113,33.51,33.51,0.0,3.1277950032794704
114,48.14,48.14,0.0,3.1173603243694474
115,48.89,48.89,0.0,3.099472303380836
116,48.22,48.22,0.0,3.115124321745871
117,42.83,42.83,0.0,3.0748762745214955
118,24.41,24.41,0.0,3.0700316021704133
119,27.63,27.63,0.0,3.083820285015801
120,42.68,42.68,0.0,3.0666775982350485
121,39.04,39.04,0.0,3.055870252221096
122,44.64,44.64,0.0,3.055124918013237
123,35.6,35.6,0.0,3.051025579870014
124,50.22,50.22,0.0,3.032764891777473
125,46.64,46.64,0.0,1.8443294973466102
126,17.31,17.31,0.0,1.7984914435632937
127,28.84,28.84,0.0,1.7481813845328245
128,27.48,27.48,0.0,1.723585355673484
129,29.8,29.8,0.0,1.7045793333730845
130,32.44,32.44,0.0,1.6859459781766144
131,33.07,33.07,0.0,1.6721572953312265
132,35.68,35.68,0.0,1.6542692743426153
133,35.63,35.63,0.0,1.6430892612247332
134,28.4,28.4,0.0,1.634517917834357
135,35.7,35.7,0.0,1.6255739073400512
136,34.85,34.85,0.0,1.6184932323653927
137,29.58,29.58,0.0,1.6117852244946633
138,32.06,32.06,0.0,1.6065678850396519
139,34.4,34.4,0.0,1.5998598771689225
140,33.4,33.4,0.0,1.5950152048178403
141,35.22,35.22,0.0,1.58905253115497
142,34.47,34.47,0.0,1.58905253115497
143,37.7,37.7,0.0,1.5860711943235346
144,35.4,35.4,0.0,1.5849531930117464
145,36.25,36.25,0.0,1.586443861427464
146,29.22,29.22,0.0,1.5801085206606642
147,37.86,37.86,0.0,1.5808538548685231
148,34.02,34.02,0.0,1.578990519348876
149,37.71,37.71,0.0,1.58271719038817
149,-1.0,37.71,0.0,1.58271719038817
150,-1.0,40.93,0.0,1.58271719038817
151,-1.0,38.02,0.0,1.58271719038817
152,-1.0,47.44,0.0,1.58271719038817
153,-1.0,48.8,0.0,1.58271719038817
154,-1.0,48.63,0.0,1.58271719038817
155,-1.0,51.91,0.0,1.58271719038817
156,-1.0,53.94,0.0,1.58271719038817
157,-1.0,53.26,0.0,1.58271719038817
158,-1.0,52.43,0.0,1.58271719038817
159,-1.0,52.55,0.0,1.58271719038817
160,-1.0,52.05,0.0,1.58271719038817
161,-1.0,53.63,0.0,1.58271719038817
162,-1.0,53.53,0.0,1.58271719038817
163,-1.0,52.63,0.0,1.58271719038817
164,-1.0,51.35,0.0,1.58271719038817
165,-1.0,55.28,0.0,1.58271719038817
166,-1.0,51.8,0.0,1.58271719038817
167,-1.0,54.92,0.0,1.58271719038817
168,-1.0,55.82,0.0,1.58271719038817
169,-1.0,53.55,0.0,1.58271719038817
170,-1.0,53.32,0.0,1.58271719038817
171,-1.0,55.06,0.0,1.58271719038817
172,-1.0,55.39,0.0,1.58271719038817
173,-1.0,54.58,0.0,1.58271719038817
174,-1.0,55.05,0.0,1.58271719038817
175,-1.0,53.94,0.0,1.58271719038817
176,-1.0,54.84,0.0,1.58271719038817
177,-1.0,55.09,0.0,1.58271719038817
178,-1.0,56.71,0.0,1.58271719038817
179,-1.0,55.27,0.0,1.58271719038817
180,-1.0,53.7,0.0,1.58271719038817
181,-1.0,50.58,0.0,1.58271719038817
182,-1.0,55.1,0.0,1.58271719038817
183,-1.0,57.46,0.0,1.58271719038817
184,-1.0,56.62,0.0,1.58271719038817
185,-1.0,57.07,0.0,1.58271719038817
186,-1.0,55.75,0.0,1.58271719038817
187,-1.0,56.78,0.0,1.58271719038817
188,-1.0,55.68,0.0,1.58271719038817
189,-1.0,53.3,0.0,1.58271719038817
190,-1.0,55.8,0.0,1.58271719038817
191,-1.0,56.9,0.0,1.58271719038817
192,-1.0,52.65,0.0,1.58271719038817
193,-1.0,57.22,0.0,1.58271719038817
194,-1.0,56.54,0.0,1.58271719038817
195,-1.0,54.83,0.0,1.58271719038817
196,-1.0,54.72,0.0,1.58271719038817
197,-1.0,56.93,0.0,1.58271719038817
198,-1.0,56.15,0.0,1.58271719038817
199,-1.0,57.13,0.0,1.58271719038817
200,-1.0,55.95,0.0,1.58271719038817
201,-1.0,56.18,0.0,1.58271719038817
202,-1.0,55.14,0.0,1.58271719038817
203,-1.0,57.19,0.0,1.58271719038817
204,-1.0,56.01,0.0,1.58271719038817
205,-1.0,55.72,0.0,1.58271719038817
206,-1.0,57.23,0.0,1.58271719038817
207,-1.0,54.79,0.0,1.58271719038817
208,-1.0,56.4,0.0,1.58271719038817
209,-1.0,56.03,0.0,1.58271719038817
210,-1.0,55.5,0.0,1.58271719038817
211,-1.0,53.18,0.0,1.58271719038817
212,-1.0,55.51,0.0,1.58271719038817
213,-1.0,55.44,0.0,1.58271719038817
214,-1.0,56.51,0.0,1.58271719038817
215,-1.0,56.17,0.0,1.58271719038817
216,-1.0,55.58,0.0,1.58271719038817
217,-1.0,57.2,0.0,1.58271719038817
218,-1.0,55.5,0.0,1.58271719038817
219,-1.0,55.11,0.0,1.58271719038817
220,-1.0,56.79,0.0,1.58271719038817
221,-1.0,55.58,0.0,1.58271719038817
222,-1.0,56.01,0.0,1.58271719038817
223,-1.0,53.53,0.0,1.58271719038817
224,-1.0,53.48,0.0,1.58271719038817
225,-1.0,55.64,0.0,1.58271719038817
226,-1.0,58.03,0.0,1.58271719038817
227,-1.0,56.87,0.0,1.58271719038817
228,-1.0,55.45,0.0,1.58271719038817
229,-1.0,56.16,0.0,1.58271719038817
230,-1.0,58.77,0.0,1.58271719038817
231,-1.0,59.15,0.0,1.58271719038817
232,-1.0,59.19,0.0,1.58271719038817
233,-1.0,59.74,0.0,1.58271719038817
234,-1.0,59.63,0.0,1.58271719038817
235,-1.0,59.93,0.0,1.58271719038817
236,-1.0,59.46,0.0,1.58271719038817
237,-1.0,59.4,0.0,1.58271719038817
238,-1.0,59.75,0.0,1.58271719038817
239,-1.0,59.26,0.0,1.58271719038817
240,-1.0,59.73,0.0,1.58271719038817
241,-1.0,59.99,0.0,1.58271719038817
242,-1.0,59.97,0.0,1.58271719038817
